Var no.,Static or (change) variable,Equivalent?,Complementary ,Synthetic,InVar no.,Section,Subsection,Category,Subcategory,Subcategory 2,Subcategory 3,Value (TO UPDATE),Unit,Unit description,InVar min value,InVar max value,Short methodology desc
503,,,,,,Supply,Hydrogen,Hydrogen production,Must-run / volatile hydrogen production,Offshore wind turbine for H2,,0,MW,,,,Major engineering challenge
504,,,,,,Supply,Hydrogen,Hydrogen production,Must-run / volatile hydrogen production,Solar PV plant for H2,,1000,MW,,,,"Total 5GW H2 production in 2050 including power to H2 in flexibility section). Equals Johnson govt 2030 target. Implies commercial scale H2 production in 2050 to cover industrial (mostly chemical) demand, but not a major production rollout, and no demand for transport or heat"
505,,,,,,Supply,Hydrogen,Hydrogen production,Must-run / volatile hydrogen production,Biomass gasification,,500,MW,,,,Mature H2 production route
506,,,,,,Supply,Hydrogen,Hydrogen production,Must-run / volatile hydrogen production,Steam methane reforming,,2000,MW,,,,"Mature H2 production route, accounting for vast majority of current hydrogen productin in Europe. Relies on gas. Could use CCS"
507,,,,,,Supply,Hydrogen,Hydrogen production,Must-run / volatile hydrogen production,Autothermal reforming,,500,MW,,,,Mature H2 production route. Works well with CCS
508,,,,,,Supply,Hydrogen,Hydrogen production,Must-run / volatile hydrogen production,Ammonia reforming,,0,MW,,,,
509,,,,,,Supply,Hydrogen,Hydrogen production,Must-run / volatile hydrogen production,LH2 regasification,,0,MW,,,,
510,,,,,,Supply,Hydrogen,Hydrogen production,Must-run / volatile hydrogen production,LOHC reforming,,0,MW,,,,
511,,,,,,Supply,Hydrogen,Hydrogen production,Must-run / volatile hydrogen production,H2 import,,0,MW,,,,
512,,,,,,Supply,Hydrogen,Hydrogen production,Dispatchable hydrogen production,Steam methane reforming,,0,MW,,,,No dispatchable as storage available
513,,,,,,Supply,Hydrogen,Hydrogen production,Dispatchable hydrogen production,Autothermal reforming,,0,MW,,,,
514,,,,,,Supply,Hydrogen,Hydrogen production,Dispatchable hydrogen production,Ammonia reforming,,0,MW,,,,
515,,,,,,Supply,Hydrogen,Hydrogen production,Hydrogen transport,Transport via pipelines only,,0%,,,,,
516,,,,,,Supply,Hydrogen,Hydrogen production,Hydrogen transport,Transport via pipelines and trucks,,100%,,,,,
517,,,,,,Supply,Hydrogen,Hydrogen production,Hydrogen storage,Salt caverns,Storage volume,30,TWh,,,,UK Oil & Gas storage facility 1 gets built
518,,,,,,Supply,Hydrogen,Hydrogen production,Hydrogen storage,Salt caverns,Relative storage capacity,250,hrs,,,,UK 2050 ETM default
519,,,,,,Supply,Hydrogen,Hydrogen production,Hydrogen storage,Depleted gas fields,Storage volume,0,,,,,
520,,,,,,Supply,Hydrogen,Hydrogen production,Hydrogen storage,Depleted gas fields,Relative storage capacity,0,,,,,
521,,,,,,Supply,Hydrogen,Hydrogen production,Merit order of dispatchable hydrogen production ,,,Salt cavern hydrogen storage,,Merit order ,,,
522,,,,,,Supply,Hydrogen,Hydrogen production,Merit order of dispatchable hydrogen production ,,,Depleted gas field hydrogen storage,,,,,
523,,,,,,Supply,Hydrogen,Hydrogen production,Merit order of dispatchable hydrogen production ,,,Ammonia reforming (dispatchable),,,,,
524,,,,,,Supply,Hydrogen,Hydrogen production,Merit order of dispatchable hydrogen production ,,,Autothermal reforming (dispatchable),,,,,
525,,,,,,Supply,Hydrogen,Hydrogen production,Merit order of dispatchable hydrogen production ,,,Steam methane reforming (dispatchable),,,,,
526,,,,,,Supply,Hydrogen,Hydrogen production,Merit order of dispatchable hydrogen demand,,,Salt cavern hydrogen storage,,Merit order,,,
527,,,,,,Supply,Hydrogen,Hydrogen production,Merit order of dispatchable hydrogen demand,,,Depleted gas field hydrogen storage,,,,,
528,,,,,,Supply,Hydrogen,Hydrogen production,Ammonia production,Ammonia import,,0,MW,input capacity,,,
529,,,,,,Supply,Transport fuels,Road transport,Composition diesel,Diesel,,90%,%,Biofuel mixes,,,
530,,,,,,Supply,Transport fuels,Road transport,Composition diesel,Biodiesel,,10%,%,,,,B7 (7% bio) diesel default in 2025
531,,,,,,Supply,Transport fuels,Road transport,Composition gasoline,Gasoline,,85%,%,,,,
532,,,,,,Supply,Transport fuels,Road transport,Composition gasoline,Bio-ethanol,,15%,%,,,,E10 (10% bio) petrol standard in UK in 2025
533,,,,,,Supply,Transport fuels,Road transport,Composition LNG,LNG,,95%,%,,,,
534,,,,,,Supply,Transport fuels,Road transport,Composition LNG,Bio-LNG,,5%,%,,,,0% bio LNG standard in 2025
535,,,,,,Supply,Transport fuels,Rail transport,Diesel,,,90%,,,,,
536,,,,,,Supply,Transport fuels,Rail transport,Biodiesel,,,10%,,,,,
537,,,,,,Supply,Transport fuels,Domestic navigation,Fuel mix diesel (single / dual / muti-fuel ships),Diesel,,9%,,,,,
538,,,,,,Supply,Transport fuels,Domestic navigation,Fuel mix diesel (single / dual / muti-fuel ships),Biodiesel,,1%,,,,,Mirrors ratio of diesel to biodiesel on roads
539,,,,,,Supply,Transport fuels,Domestic navigation,Fuel mix diesel (single / dual / muti-fuel ships),LNG,,42%,,,,,Current ship order book tonnage. LPG (2%) counted as LNG
540,,,,,,Supply,Transport fuels,Domestic navigation,Fuel mix diesel (single / dual / muti-fuel ships),Bio-LNG,,0%,,,,,
541,,,,,,Supply,Transport fuels,Domestic navigation,Fuel mix diesel (single / dual / muti-fuel ships),Bio-ethanol,,8%,,,,,
542,,,,,,Supply,Transport fuels,Domestic navigation,Fuel mix diesel (single / dual / muti-fuel ships),Heavy fuel oil,,40%,,,,,
543,,,,,,Supply,Transport fuels,Domestic navigation,Fuel mix LNG ships,LNG,,95%,,,,,
544,,,,,,Supply,Transport fuels,Domestic navigation,Fuel mix LNG ships,Bio-LNG,,5%,,,,,
545,,,,,,Supply,Transport fuels,International aviation,Kerosene,,,80%,,,,,UK matches ReFuelEU's 2035 20% SAF target by 2050
546,,,,,,Supply,Transport fuels,International aviation,Bio-kerosene,,,20%,,,,,
547,,,,,,Supply,Transport fuels,Biomass,Potential of biomass,Wet biomass,,242.6,PJ,National potential available biomass. UK 2050 ETM default,,,
548,,,,,,Supply,Transport fuels,Biomass,Potential of biomass,Dry biomass,,13.1,PJ,,,,
549,,,,,,Supply,Transport fuels,Biomass,Potential of biomass,Oil-containing biomass,,249.2,PJ,,,,
550,,,,,,Supply,Transport fuels,Biomass,Potential of biomass,Biogenic waste,,143.6,PJ,,,,
551,,,,,,Supply,Transport fuels,Biomass,Gas mix in gas network,Composition of gases in gas network,Natural gas,100%,,"Green gas only used for electricity generation, at utility scale plants",,,
552,,,,,,Supply,Transport fuels,Biomass,Gas mix in gas network,Composition of gases in gas network,Green gas,0,,,,,
553,,,,,,Supply,Transport fuels,Biomass,Gas mix in gas network,Composition of gases in gas network,Propane,0,,,,,
554,,,,,,Supply,Transport fuels,Biomass,Gas mix in gas network,Composition of natural gas,Natural gas,70%,,,,,
555,,,,,,Supply,Transport fuels,Biomass,Gas mix in gas network,Composition of natural gas,Regasified LNG,30%,,2024 figures,,,
556,,,,,,Supply,Transport fuels,Biomass,Green gas production,Anaerobic digestion,,33.30%,,,,,
557,,,,,,Supply,Transport fuels,Biomass,Green gas production,Dry biomass gasification,,33.40%,,,,,
558,,,,,,Supply,Transport fuels,Biomass,Green gas production,Wet biomass gasification (SCW),,33.30%,,,,,
559,,,,,,Supply,Transport fuels,Biomass,Wood pellets in steel production,Wood pellets in cyclone furnace,,0%,,,,,
560,,,,,,Supply,Transport fuels,Biomass,Biocoal and bio-oil in energy plants,Coal plant,Coal,100%,,,,,
561,,,,,,Supply,Transport fuels,Biomass,Biocoal and bio-oil in energy plants,Coal plant,Biocoal,0%,,,,,
562,,,,,,Supply,Transport fuels,Biomass,Biocoal and bio-oil in energy plants,Gas-fired CHPs from industry,Gas from gas network,100%,,,,,
563,,,,,,Supply,Transport fuels,Biomass,Biocoal and bio-oil in energy plants,Gas-fired CHPs from industry,Bio-oil,0%,,,,,
564,,,,,,Supply,Transport fuels,Biomass,Biocoal and bio-oil in energy plants,Gas-fired CHPs from industry,Oil,0%,,,,,
565,,,,,,Supply,Transport fuels,Biomass,CO2 emissions of biomass,Present,Gas,0,,,,,
566,,,,,,Supply,Transport fuels,Biomass,CO2 emissions of biomass,Present,Liquid,0,,,,,
567,,,,,,Supply,Transport fuels,Biomass,CO2 emissions of biomass,Present,Solid,0,,,,,
568,,,,,,Supply,Transport fuels,Biomass,CO2 emissions of biomass,Future,Gas,0,,,,,
569,,,,,,Supply,Transport fuels,Biomass,CO2 emissions of biomass,Future,Liquid,0,,,,,
570,,,,,,Supply,Transport fuels,Biomass,CO2 emissions of biomass,Future,Solid,0,,,,,
571,,,,,,Supply,Transport fuels,Biomass,Oil mix in demand sectors,Oil mix households,Diesel,90%,,Matches road transport split,,,
572,,,,,,Supply,Transport fuels,Biomass,Oil mix in demand sectors,Oil mix households,Biodiesel,10%,,,,,
573,,,,,,Supply,Transport fuels,Biomass,Oil mix in demand sectors,Oil mix households,Kerosene,0%,,,,,
574,,,,,,Supply,Transport fuels,Biomass,Oil mix in demand sectors,Oil mix households,Bio kerosene,0,,,,,
575,,,,,,Supply,Transport fuels,Biomass,Oil mix in demand sectors,Oil mix households,LPG,0,,,,,
576,,,,,,Supply,Transport fuels,Biomass,Oil mix in demand sectors,Oil mix households,Other oil,0,,,,,
577,,,,,,Supply,Transport fuels,Biomass,Oil mix in demand sectors,Oil mix households,Other bio oil,0,,,,,
578,,,,,,Supply,Transport fuels,Biomass,Oil mix in demand sectors,Oil mix buildings,Diesel,90%,,Matches road transport split,,,
579,,,,,,Supply,Transport fuels,Biomass,Oil mix in demand sectors,Oil mix buildings,Biodiesel,10%,,,,,
580,,,,,,Supply,Transport fuels,Biomass,Oil mix in demand sectors,Oil mix buildings,Kerosene,0%,,,,,
581,,,,,,Supply,Transport fuels,Biomass,Oil mix in demand sectors,Oil mix buildings,Bio kerosene,0,,,,,
582,,,,,,Supply,Transport fuels,Biomass,Oil mix in demand sectors,Oil mix buildings,LPG,0,,,,,
583,,,,,,Supply,Transport fuels,Biomass,Oil mix in demand sectors,Oil mix buildings,Other oil,0,,,,,
584,,,,,,Supply,Transport fuels,Biomass,Oil mix in demand sectors,Oil mix buildings,Other bio oil,0,,,,,
585,,,,,,Supply,Transport fuels,Biomass,Oil mix in demand sectors,Energetic oil mix industry,Diesel,63%,,,,,
586,,,,,,Supply,Transport fuels,Biomass,Oil mix in demand sectors,Energetic oil mix industry,Biodiesel,7%,,Matches road transport solit,,,
587,,,,,,Supply,Transport fuels,Biomass,Oil mix in demand sectors,Energetic oil mix industry,Kerosene,0%,,UK doesn¡¯t currently produce kerosene,,,
588,,,,,,Supply,Transport fuels,Biomass,Oil mix in demand sectors,Energetic oil mix industry,Bio kerosene,0%,,,,,
589,,,,,,Supply,Transport fuels,Biomass,Oil mix in demand sectors,Energetic oil mix industry,LPG,0%,,,,,
590,,,,,,Supply,Transport fuels,Biomass,Oil mix in demand sectors,Energetic oil mix industry,Other oil,30%,,Crude for industry,,,
591,,,,,,Supply,Transport fuels,Biomass,Oil mix in demand sectors,Energetic oil mix industry,Other bio oil,0%,,,,,
592,,,,,,Supply,Transport fuels,Biomass,Oil mix in demand sectors,Energetic oil mix agriculture,Diesel,63%,,,,,
593,,,,,,Supply,Transport fuels,Biomass,Oil mix in demand sectors,Energetic oil mix agriculture,Biodiesel,7%,,Matches road transport solit,,,
594,,,,,,Supply,Transport fuels,Biomass,Oil mix in demand sectors,Energetic oil mix agriculture,Kerosene,0%,,UK doesn¡¯t currently produce kerosene,,,
595,,,,,,Supply,Transport fuels,Biomass,Oil mix in demand sectors,Energetic oil mix agriculture,Bio kerosene,0%,,,,,
596,,,,,,Supply,Transport fuels,Biomass,Oil mix in demand sectors,Energetic oil mix agriculture,LPG,0%,,,,,
597,,,,,,Supply,Transport fuels,Biomass,Oil mix in demand sectors,Energetic oil mix agriculture,Other oil,30%,,Crude for industry,,,
598,,,,,,Supply,Transport fuels,Biomass,Oil mix in demand sectors,Energetic oil mix agriculture,Other bio oil,0%,,,,,
599,,,,,,Supply,Transport fuels,Fuel production,Coal,,,0,PJ,,,,
600,,,,,,Supply,Transport fuels,Fuel production,Oil,,,563.25,PJ,,,,Quarter of 2020 levels
601,,,,,,Supply,Transport fuels,Fuel production,Natural gas,,,355.5,PJ,,,,Quarter of 2020 levels
602,,,,,,Supply,Transport fuels,Fuel production,Uranium oxide,,,0,PJ,,,,
603,,,,,,Flexibility,Electricity storage,Batteries in households,Technical specifications,Market penetration,,InVar,,,0%,90%,
604,,,,,,Flexibility,Electricity storage,Batteries in households,Technical specifications,Relative storage volume,,InVar,hours,,2,30,Maximum value. Appears to be feasible.
605,,,,,,Flexibility,Electricity storage,Batteries in households,Price-sensitive behaviour,Willingness to pay ,,N/A,,,,,
606,,,,,,Flexibility,Electricity storage,Batteries in households,Price-sensitive behaviour,Willingness to accept,,N/A,,,,,
607,,,,,,Flexibility,Electricity storage,Batteries in households,Forecasting algorithm,,,Local forecasting algorithm,,,,,
608,,,,,,Flexibility,Electricity storage,Batteries in electric vehicles,Technical specifications cars,Deployable capacity,,21%,,,,,
609,,,,,,Flexibility,Electricity storage,Batteries in electric vehicles,Technical specifications cars,Relative storage volume,,3,hours,,,,
610,,,,,,Flexibility,Electricity storage,Batteries in electric vehicles,Technical specifications buses,Deployable capacity,,21%,,,,,
611,,,,,,Flexibility,Electricity storage,Batteries in electric vehicles,Technical specifications buses,Relative storage volume,,4,hours,,,,
612,,,,,,Flexibility,Electricity storage,Batteries in electric vehicles,Technical specifications trucks,Deployable capacity,,21%,,,,,
613,,,,,,Flexibility,Electricity storage,Batteries in electric vehicles,Technical specifications trucks,Relative storage volume,,4,hours,,,,
614,,,,,,Flexibility,Electricity storage,Batteries in electric vehicles,Technical specifications vans,Deployable capacity,,21%,,,,,
615,,,,,,Flexibility,Electricity storage,Batteries in electric vehicles,Technical specifications vans,Relative storage volume,,3,hours,,,,
616,,,,,,Flexibility,Electricity storage,Batteries in electric vehicles,Price-sensitive behaviour,Willingness to pay ,,N/A,,,,,
617,,,,,,Flexibility,Electricity storage,Batteries in electric vehicles,Price-sensitive behaviour,Willingness to accept,,N/A,,,,,
618,,,,,,Flexibility,Electricity storage,Batteries in electric vehicles,Forecasting algorithm,,,ON,OFF / ON,,,,
619,,,,,,Flexibility,Large-scale batteries,Technical specifications,Installed capacity,,,InVar,MW,,0,"127,404",Entire pipeline of BESS projects as of Dec 2024 is realised 
620,,,,,,Flexibility,Large-scale batteries,Technical specifications,Relative storage volume,,,4,hours,,,,This input effectively makes large scale batteries represent current li-ion. Flow battery input has relative storage volume InVar
621,,,,,,Flexibility,Large-scale batteries,Price-sensitive behaviour,Willingness to pay ,,,N/A,,,,,
622,,,,,,Flexibility,Large-scale batteries,Price-sensitive behaviour,Willingness to accept,,,N/A,,,,,
623,,,,,,Flexibility,Large-scale batteries,Forecasting algorithm,,,,ON,OFF / ON,,,,
624,,,,,,Flexibility,Reservoirs,Technical specifications,Installed capacity,,,9.7,GW,,,,
625,,,,,,Flexibility,Reservoirs,Technical specifications,Relative storage volume,,,19.6,hours,,,,
626,,,,,,Flexibility,Reservoirs,Price-sensitive behaviour,Willingness to pay ,,,N/A,,,,,
627,,,,,,Flexibility,Reservoirs,Price-sensitive behaviour,Willingness to accept,,,N/A,,,,,
628,,,,,,Flexibility,Reservoirs,Forecasting algorithm,,,,ON,OFF / ON,,,,
629,,,,,,Flexibility,Underground pumped hydro storage,Technical specifications,Installed capacity,,,0,,,,,
630,,,,,,Flexibility,Underground pumped hydro storage,Technical specifications,Relative storage volume,,,19.6,hours,,,,
631,,,,,,Flexibility,Underground pumped hydro storage,Price-sensitive behaviour,Willingness to pay ,,,N/A,,,,,
632,,,,,,Flexibility,Underground pumped hydro storage,Price-sensitive behaviour,Willingness to accept,,,N/A,,,,,
633,,,,,,Flexibility,Underground pumped hydro storage,Forecasting algorithm,,,,ON,OFF / ON,,,,
634,,,,,,Flexibility,Flow batteries,Technical specifications,Installed capacity,,,InVar,,,0,"127,404",See large scale batteries. Max value shared. 
635,,,,,,Flexibility,Flow batteries,Technical specifications,Relative storage volume,,,InVar,hours,,48,,Double House of Lords maximum value (likely an economic rather than technical max)
636,,,,,,Flexibility,Flow batteries,Price-sensitive behaviour,Willingness to pay ,,,N/A,,,,,
637,,,,,,Flexibility,Flow batteries,Price-sensitive behaviour,Willingness to accept,,,N/A,,,,,
638,,,,,,Flexibility,Flow batteries,Forecasting algorithm,,,,ON,OFF / ON,,,,
639,,,,,,Flexibility,Wind turbines with storage systems,Onshore inland wind turbines,Relative grid connection capacity,,,InVar,,,0,90%,
640,,,,,,Flexibility,Wind turbines with storage systems,Onshore inland wind turbines,Relative battery capacity,,,InVar,,,0%,500%,Test the full range
641,,,,,,Flexibility,Wind turbines with storage systems,Onshore inland wind turbines,Relative storage volume,,,InVar,hours,,1.6,30,
642,,,,,,Flexibility,Solar plants with storage systems,Solar PV plants,Relative grid connection capacity,,,InVar,,,0,90%,
643,,,,,,Flexibility,Solar plants with storage systems,Solar PV plants,Relative battery capacity,,,InVar,,,0%,500%,Test the full range
644,,,,,,Flexibility,Solar plants with storage systems,Solar PV plants,Relative storage volume,,,InVar,,,1.6,30,
645,,,,,,Flexibility,Merit order,Solar PV plants,,,,Batteries in electric cars,,,,,
646,,,,,,Flexibility,Merit order,Solar PV plants,,,,Batteries in electric vans,,,,,
647,,,,,,Flexibility,Merit order,Solar PV plants,,,,Batteries in electric buses,,,,,
648,,,,,,Flexibility,Merit order,Solar PV plants,,,,Batteries in electric trucks,,,,,
649,,,,,,Flexibility,Merit order,Solar PV plants,,,,Batteries in households,,,,,
650,,,,,,Flexibility,Merit order,Solar PV plants,,,,Large-scale batteries,,,,,
651,,,,,,Flexibility,Merit order,Solar PV plants,,,,Flow batteries,,,,,
652,,,,,,Flexibility,Merit order,Solar PV plants,,,,Underground pumped hydro storage,,,,,
653,,,,,,Flexibility,Merit order,Solar PV plants,,,,Reservoirs,,,,,
654,,,,,,Flexibility,Electricity conversion,Conversion to hydrogen,Capacity,Power-to-gas,,"1,000.00",,Makes up part of 5GW H2 production capacity (see Flexibility > Hydrogen for the rest),,,
655,,,,,,Flexibility,Electricity conversion,Conversion to hydrogen,Willingness to pay,Power-to-gas,,30,EUR/MWh,UK 2020 ETM default,,,
656,,,,,,Flexibility,Electricity conversion,Conversion to heat for district heating,Capacity,Power-to-heat boiler,,0,MW,UK 2020 ETM default. No district heating so irrelevant,,,
657,,,,,,Flexibility,Electricity conversion,Conversion to heat for district heating,Capacity,Power-to-heat heat pump,,0,MW,,,,
658,,,,,,Flexibility,Electricity conversion,Conversion to heat for district heating,Willingness to pay,Power-to-heat boiler,,19,EUR/MWh,,,,
659,,,,,,Flexibility,Electricity conversion,Conversion to heat for district heating,Willingness to pay,Power-to-heat heat pump,,20,EUR/MWh,,,,
660,,,,,,Flexibility,Electricity conversion,Conversion to heat for industry,Willingness to pay ,Power-to-heat for refineries,,22,EUR/MWh,UK 2020 ETM default,,,
661,,,,,,Flexibility,Electricity conversion,Conversion to heat for industry,Willingness to pay ,Power-to-heat for fertiliser industry,,22,EUR/MWh,,,,
662,,,,,,Flexibility,Electricity conversion,Conversion to heat for industry,Willingness to pay ,Power-to-heat boiler for chemical industry,,22,EUR/MWh,,,,
663,,,,,,Flexibility,Electricity conversion,Conversion to heat for industry,Willingness to pay ,Power-to-heat boiler for food industry,,22,EUR/MWh,,,,
664,,,,,,Flexibility,Electricity conversion,Conversion to heat for industry,Willingness to pay ,Power-to-heat boiler for paper industry,,22,EUR/MWh,,,,
665,,,,,,Flexibility,Electricity conversion,Conversion to heat for agriculture,Willingness to pay,Power-to-heat boiler for agriculture,,22,EUR/MWh,UK 2020 ETM default,,,
666,,,,,,Flexibility,Electricity conversion,Conversion to kerosene,Willingness to pay ,Dispatchable synthetic kerosene for industry,,22,EUR/MWh,,,,
667,,,,,,Flexibility,Net load,Curtailment - solar PV,Curtailment,Solar PV households,,5%,,Low but meaningful curtailment under a well-managed grid scenario,,,
668,,,,,,Flexibility,Net load,Curtailment - solar PV,Curtailment,Solar PV buildings,,5%,,,,,
669,,,,,,Flexibility,Net load,Curtailment - solar PV,Curtailment,Solar PV plants,,5%,,,,,
670,,,,,,Flexibility,Net load,Curtailment - solar PV,Curtailment,Solar PV plants offshore,,5%,,,,,
671,,,,,,Flexibility,Net load,Hybrid offshore wind - components,Relative capacity,Offshore electrolyser,,50%,,UK 2020 ETM default. No capacity installed,,,
672,,,,,,Flexibility,Net load,Hybrid offshore wind - components,Relative capacity,Offshore electricity cable,,50%,,,,,
673,,,,,,Flexibility,Net load,Hybrid offshore wind - components,Willingness to pay,Offshore electrolyser,,30,EUR/MWh,UK 2020 ETM default. No capacity installed,,,
674,,,,,,Flexibility,Net load,Demand response - load shifting in industry,Load shifting metal industry,Load reduction capacity,,InVar,,,0%,25%,
675,,,,,,Flexibility,Net load,Demand response - load shifting in industry,,Load increase capacity,,InVar,,,0%,25%,
676,,,,,,Flexibility,Net load,Demand response - load shifting in industry,,Willingness to accept,,InVar,EUR/MWh,,1,3000,Full ETM range
677,,,,,,Flexibility,Net load,Demand response - load shifting in industry,,Deficit limit,,InVar,hours,,1,500,Full ETM range
678,,,,,,Flexibility,Net load,Demand response - load shifting in industry,Load shifting chemical industry,Load reduction capacity,,ETM Change Var,,All industries see same load shifting capacity,,,
679,,,,,,Flexibility,Net load,Demand response - load shifting in industry,,Load increase capacity,,ETM Change Var,,,,,
680,,,,,,Flexibility,Net load,Demand response - load shifting in industry,,Willingness to accept,,ETM Change Var,,,,,
681,,,,,,Flexibility,Net load,Demand response - load shifting in industry,,Deficit limit,,ETM Change Var,,,,,
682,,,,,,Flexibility,Net load,Demand response - load shifting in industry,Load shifting other industry,Load reduction capacity,,ETM Change Var,,All industries see same load shifting capacity,,,
683,,,,,,Flexibility,Net load,Demand response - load shifting in industry,,Load increase capacity,,ETM Change Var,,,,,
684,,,,,,Flexibility,Net load,Demand response - load shifting in industry,,Willingness to accept,,ETM Change Var,,,,,
685,,,,,,Flexibility,Net load,Demand response - load shifting in industry,,Deficit limit,,ETM Change Var,,,,,
686,,,,,,Flexibility,Net load,Demand response - load shifting in industry,Load shifting ICT,Load reduction capacity,,ETM Change Var,,All industries see same load shifting capacity,,,
687,,,,,,Flexibility,Net load,Demand response - load shifting in industry,,Load increase capacity,,ETM Change Var,,,,,
688,,,,,,Flexibility,Net load,Demand response - load shifting in industry,,Willingness to accept,,ETM Change Var,,,,,
689,,,,,,Flexibility,Net load,Demand response - load shifting in industry,,Deficit limit,,ETM Change Var,,,,,
690,,,,,,Flexibility,Net load,Demand response - electric vehicles,Charging strategy for electric vehicles,Public charging,,InVar,%,of total,0%,100%,Has a major grid impact
691,,,,,,Flexibility,Net load,Demand response - electric vehicles,Charging strategy for electric vehicles,Charging at home,,InVar,%,,0%,100%,
692,,,,,,Flexibility,Net load,Demand response - electric vehicles,Charging strategy for electric vehicles,Fast charging,,InVar,%,,0%,100%,
693,,,,,,Flexibility,Net load,Demand response - electric vehicles,Charging strategy for electric vehicles,Charging at work,,InVar,%,,0%,100%,
694,,,,,,Flexibility,Net load,Demand response - electric vehicles,Charging strategy for electric vehicles,Custom profile,,0,,,,,
695,,,,,,Flexibility,Net load,Demand response - behaviour of hybrid heat pumps,Threshold COP for hybrid heat pumps,Space heating (gas),,2.6,,UK 2020 ETM default,,,
696,,,,,,Flexibility,Net load,Demand response - behaviour of hybrid heat pumps,,Space heating (oil),,3.5,,,,,
697,,,,,,Flexibility,Net load,Demand response - behaviour of hybrid heat pumps,,Hot water,,6,,,,,
698,,,,,,Flexibility,Net load,Demand response - behaviour of hybrid heat pumps,Consumer prices incl. taxes,Gas price,,InVar,EUR ct/m3,,70,200,Full ETM range
699,,,,,,Flexibility,Net load,Demand response - behaviour of hybrid heat pumps,,Electricity price,,InVar,EUR ct/m3,,10,80,Full ETM range
700,,,,,,Flexibility,Import/Export,Interconnector 1,Interconnector capacity,,,InVar,,,9800,49000,Current capacity to 5x current capacity. NESO found 18.2 GW to 29.5 GW interconnection capacity by 2041 would be ideal for the UK. My manual ETM manipulation found a 42GW optimum for minimising blackout hours 
701,,,,,,Flexibility,Import/Export,Interconnector 1,Availability for import,,,InVar,,,10%,90%,
702,,,,,,Flexibility,Import/Export,Interconnector 1,Availability for export,,,InVar,,,10%,90%,
703,,,,,,Flexibility,Import/Export,Interconnector 1,CO2 emissions,Present import,,275.9,g CO2/kWh,European grid avg 2014,,,
704,,,,,,Flexibility,Import/Export,Interconnector 1,CO2 emissions,Future import,,100,g CO2/kWh,"Assume Western European grid is majority decarbonised by 2050. In 2024, Denmark reached 173g CO2/kWh",,,
705,,,,,,Flexibility,Import/Export,Interconnector 1,Costs,Cost of electricity in external market,,InVar,,,36.122,145.71,"Averaged 2015-25 prices for all countries interconnected to the UK, assumed 1% compounded price reduction pa for the minimum and 1% compounded increase pa for the max"
706,,,,,,Flexibility,Import/Export,Interconnector 2 to 12,Interconnector capacity,,,0,,,,,
707,,,,,,Flexibility,Import/Export,Interconnector 2 to 12,Availability for import,,,100%,,,,,
708,,,,,,Flexibility,Import/Export,Interconnector 2 to 12,Availability for export,,,100%,,,,,
709,,,,,,Flexibility,Import/Export,Interconnector 2 to 12,CO2 emissions,Present import,,370,g/kWh,,,,
710,,,,,,Flexibility,Import/Export,Interconnector 2 to 12,CO2 emissions,Future import,,370,g/kWh,,,,
711,,,,,,Flexibility,Import/Export,Interconnector 2 to 12,Costs,Cost of electricity in external market,,37.6,EUR/MWh,,,,
712,,,,,,Flexibility,Weather conditions,Temperature,Outdoor temperature,,,0,degC,Change from base year,,,UK govt report suggests minimal change in heating and cooling demand specifically due to change in climate - plus this is a highly uncertain variable
713,,,,,,Flexibility,Weather conditions,Full load hours,Onshore inland,,,InVar,#,hours per year,2482,3500,"Full ETM range. Models onshore and offshore combined, which averaged 3819h and 2181h in 2023 in the UK respectively (Statista, DESNZ)"
714,,,,,,Flexibility,Weather conditions,Full load hours,Onshore coastal,,,2644,#,hours per year,,,
715,,,,,,Flexibility,Weather conditions,Full load hours,Offshore,,,3734,#,hours per year,,,
716,,,,,,Flexibility,Weather conditions,Full load hours,Offshore wind turbine for H2,,,4000,#,hours per year,,,
717,,,,,,Flexibility,Weather conditions,Full load hours,Solar PV,,,InVar,#,hours per year,755,1150,ETM minimum to UK 2023 solar PV average (920h) +25%
718,,,,,,Emissions,Greenhouse gases,Built Environment,Non-energetic emissions (other greenhouse gases),Households,,67%,change,from 100% as base year,,,"33% reduction, approx 1% per year"
719,,,,,,Emissions,Greenhouse gases,Built Environment,Non-energetic emissions (other greenhouse gases),Buildings,,67%,,,,,
720,,,,,,Emissions,Greenhouse gases,Transport,Non-energetic emissions (other greenhouse gases),Transport,,67%,,from 100% as base year,,,"33% reduction, approx 1% per year"
721,,,,,,Emissions,Greenhouse gases,Industry and Energy,Non-energetic emissions (CO2),Chemical industry,,67%,change,from 100% as base year,,,"33% reduction, approx 1% per year"
722,,,,,,Emissions,Greenhouse gases,Industry and Energy,Non-energetic emissions (CO2),Waste management,,67%,,,,,
723,,,,,,Emissions,Greenhouse gases,Industry and Energy,Non-energetic emissions (CO2),Other industry,,67%,,,,,
724,,,,,,Emissions,Greenhouse gases,Industry and Energy,Non-energetic emissions (other greenhouse gases),Chemical industry,,67%,change,from 100% as base year,,,"33% reduction, approx 1% per year"
725,,,,,,Emissions,Greenhouse gases,Industry and Energy,Non-energetic emissions (other greenhouse gases),Waste management,,67%,,,,,
726,,,,,,Emissions,Greenhouse gases,Industry and Energy,Non-energetic emissions (other greenhouse gases),Other industry,,67%,,,,,
