Sam,,,,,,Grey bold left align = Calculated as proportion of another variable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Var no.,Formula,Min,Max,Sample 1,Sample 2,Sample 3,Sample 4,Sample 5,Sample 6,Sample 7,Sample 8,Sample 9,Sample 10,Sample 11,Sample 12,Sample 13,Sample 14,Sample 15,Sample 16,Sample 17,Sample 18,Sample 19,Sample 20,Sample 21,Sample 22,Sample 23,Sample 24,Sample 25,Sample 26,Sample 27,Sample 28,Sample 29,Sample 30,Sample 31,Sample 32,Sample 33,Sample 34,Sample 35,Sample 36,Sample 37,Sample 38,Sample 39,Sample 40,Sample 41,Sample 42,Sample 43,Sample 44,Sample 45,Sample 46,Sample 47,Sample 48,Sample 49,Sample 50,Sample 51,Sample 52,Sample 53,Sample 54,Sample 55,Sample 56,Sample 57,Sample 58,Sample 59,Sample 60,Sample 61,Sample 62,Sample 63,Sample 64,Sample 65,Sample 66,Sample 67,Sample 68,Sample 69,Sample 70,Sample 71,Sample 72,Sample 73,Sample 74,Sample 75,Sample 76,Sample 77,Sample 78,Sample 79,Sample 80,Sample 81,Sample 82,Sample 83,Sample 84,Sample 85,Sample 86,Sample 87,Sample 88,Sample 89,Sample 90,Sample 91,Sample 92,Sample 93,Sample 94,Sample 95,Sample 96,Sample 97,Sample 98,Sample 99,Sample 100,Sample 101,Sample 102,Sample 103,Sample 104,Sample 105,Sample 106,Sample 107,Sample 108,Sample 109,Sample 110,Sample 111,Sample 112,Sample 113,Sample 114,Sample 115,Sample 116,Sample 117,Sample 118,Sample 119,Sample 120,Sample 121,Sample 122,Sample 123,Sample 124,Sample 125,Sample 126,Sample 127,Sample 128,Sample 129,Sample 130,Sample 131,Sample 132,Sample 133,Sample 134,Sample 135,Sample 136,Sample 137,Sample 138,Sample 139,Sample 140,Sample 141,Sample 142,Sample 143,Sample 144,Sample 145,Sample 146,Sample 147,Sample 148,Sample 149,Sample 150,Sample 151,Sample 152,Sample 153,Sample 154,Sample 155,Sample 156,Sample 157,Sample 158,Sample 159,Sample 160,Sample 161,Sample 162,Sample 163,Sample 164,Sample 165,Sample 166,Sample 167,Sample 168,Sample 169,Sample 170,Sample 171,Sample 172,Sample 173,Sample 174,Sample 175,Sample 176,Sample 177,Sample 178,Sample 179,Sample 180,Sample 181,Sample 182,Sample 183,Sample 184,Sample 185,Sample 186,Sample 187,Sample 188,Sample 189,Sample 190,Sample 191,Sample 192,Sample 193,Sample 194,Sample 195,Sample 196,Sample 197,Sample 198,Sample 199,Sample 200,Sample 201,Sample 202,Sample 203,Sample 204,Sample 205,Sample 206,Sample 207,Sample 208,Sample 209,Sample 210,Sample 211,Sample 212,Sample 213,Sample 214,Sample 215,Sample 216,Sample 217,Sample 218,Sample 219,Sample 220,Sample 221,Sample 222,Sample 223,Sample 224,Sample 225,Sample 226,Sample 227,Sample 228,Sample 229,Sample 230,Sample 231,Sample 232,Sample 233,Sample 234,Sample 235,Sample 236,Sample 237,Sample 238,Sample 239,Sample 240,Sample 241,Sample 242,Sample 243,Sample 244,Sample 245,Sample 246,Sample 247,Sample 248,Sample 249,Sample 250
SYNCOM.SYN.44,0 to 100% of passenger km,0,100,28.846,22.078,21.019,25.033,4.777,58.997,21.65,67.032,0.076,4.864,13.345,60.422,3.264,21.981,18.729,9.068,31.212,1.037,7.629,9.662,19.663,11.182,23.291,80.805,9.233,9.81,0.153,14.559,1.776,37.056,80.762,0.41,4.807,42.733,17.659,66.102,19.105,40.433,14.3,9.714,36.776,2.897,19.67,8.419,53.191,0.149,21.469,8.055,5.234,8.474,10.585,37.089,5.138,61.081,9.62,30.407,15.629,65.994,2.209,6.043,6.16,30.307,41.242,49.679,3.145,6.701,24.32,16.216,70.168,28.742,15.446,10.816,6.126,40.056,6.589,13.377,1.028,0.15,16.51,88.776,22.778,39.721,4.72,29.984,0.111,28.209,31.791,7.793,3.453,23.56,19.024,24.52,67.036,28.791,23.019,42.19,50.302,44.276,19.683,11.153,35.485,69.463,14.996,5.919,27.352,19.112,8.095,61.423,13.414,12.947,70.862,26.761,26.185,33.806,2.396,24.162,7.255,15.37,51.234,22.55,27.623,38.999,43.9,10.836,10.815,21.029,5.915,14.178,19.658,22.772,26.982,23.872,35.274,1.388,72.095,2.822,11.965,1.479,4.19,85.035,10.07,92.591,84.319,14.206,7.767,2.541,2.238,3.569,4.917,10.044,0.46,52.556,28.901,1.316,15.197,78.706,73.644,1.125,62.585,10.376,27.021,0.271,60.572,19.934,34.889,8.885,25.756,61.332,22.403,26.012,38.873,0.169,8.733,16.606,39.759,27.121,5.985,10.324,27.869,29.808,48.335,29.583,18.347,26.67,3.821,54.734,17.814,27.823,14.546,11.256,17.359,9.233,8.071,52.424,33.586,4.742,0.378,32.666,7.173,4.997,11.618,33.177,2.794,57.167,4.354,36.849,40.08,42.773,42.476,4.137,49.78,6.027,4.722,12.881,5.933,2.291,58.673,55.252,44.952,1.059,37.044,8.125,8.888,71.673,34.058,3.375,38.847,37.489,0.475,0.67,6.125,22.918,29.127,5.588,30.481,13.14,10.544,15.264,23.24,8.85,1.037,11.528,9.301,13.916,30.793,33.564,2.26,1.842,32.469,27.002
SYN.46,0 to 100% of passenger km,0,100,0.743,9.954,16.119,24.964,3.914,9.793,18.289,5.275,0.037,1.832,6.454,21.425,0.556,12.363,7.802,8.583,28.09,0.333,3.809,9.364,4.368,6.12,18.904,22.926,7.705,3.994,0.146,4.179,0.418,31.41,17.221,0.166,2.587,16.022,1.913,16.308,17.199,33.002,7.031,5.466,16.231,0.762,10.234,2.004,8.632,0.09,8.666,6.158,2.57,2.086,4.529,28.734,0.184,13.266,5.776,26.189,10.356,39.842,0.122,4.279,0.937,4.262,36.298,23.942,2.286,0.195,4.923,2.976,53.296,0.738,0.264,2.942,4.448,8.854,2.568,9.429,0.218,0.11,4.848,80.366,3.624,17.264,1.744,28.637,0.073,7.422,23.65,6.641,3.365,21.091,3.488,15.272,64.103,10.145,22.288,2.973,14.471,10.823,10.867,1.591,33.224,29.715,3.891,1.324,26.433,4.444,2.602,58.682,8.23,12.002,64.07,15.377,3.635,24.064,0.524,20.533,4.548,4.143,47.805,17.297,0.96,10.461,33.299,10.206,3.955,7.965,3.99,13.834,15.802,20.261,20.65,23.587,26.714,0.8,8.418,0.631,5.518,1.017,0.586,14.879,5.304,8.468,65.745,4.305,4.328,0.255,2.233,2.825,0.934,2.962,0.322,6.223,14.887,0.868,5.871,65.658,66.458,0.09,52.251,0.558,4.611,0.243,33.244,14.799,21.347,5.545,23.614,20.858,10.508,2.666,21.618,0.035,2.016,5.935,0.09,20.096,4.22,0.473,8.282,6.372,37.812,5.415,7.266,16.335,2.874,14.098,8.765,23.434,14.487,8.998,3.967,8.135,5.49,24.747,13.44,4.677,0.028,27.455,5.368,4.483,2.408,25.03,1.656,45.16,4.197,13.671,5.64,39.003,25.315,2.506,21.374,0.887,4.594,5.429,4.55,0.066,52.781,2.301,0.7,0.994,3.84,3.974,5.842,11.825,11.478,1.051,10.805,16.34,0.236,0.247,4.544,11.27,6.844,4.393,28.085,10.06,7.575,7.844,19.529,8.091,0.743,11.147,1.859,2.376,19.647,2.955,1.648,1.472,2.484,1.764
155,0 to 100% of passenger km,0,100,0.592,8.26,9.232,24.624,2.397,4.499,12.292,3.995,0.002,0.99,2.944,5.846,0.54,10.363,1.881,5.697,19.881,0.034,3.595,5.071,0.119,3.972,5.397,11.487,4.175,2.188,0.088,3.68,0.309,20.781,2.002,0.033,0.953,5.777,1.277,7.918,7.604,27.808,7.018,4.121,3.109,0.614,5.185,0.344,1.706,0.075,4.098,5.819,1.79,0.697,0.469,24.454,0.179,12.473,2.58,19.075,9.609,15.25,0.06,1.556,0.521,1.433,22.008,7.716,0.444,0.043,1.337,2.899,9.142,0.196,0.229,2.096,0.107,0.269,2.132,2.892,0.038,0.082,1.235,31.853,1.03,9.026,0.54,9.199,0.054,2.366,23.455,5.567,1.124,9.129,2.682,12.256,10.56,3.622,0.635,1.965,12.262,2.914,4.572,0.688,10.361,28.17,3.009,0.624,5.968,1.021,2.076,54.923,6.919,3.55,15.633,1.117,3.437,2.454,0.442,2.001,1.059,0.616,0.447,2.192,0.105,2.77,7.994,6.173,3.538,2.586,1.024,0.6,1.059,8.249,19.292,19.858,3.529,0.278,3.411,0.591,0.232,0.367,0.093,11.615,2.746,2.098,45.739,0.511,0.418,0.202,1.36,2.43,0.12,2.58,0.108,1.533,11.428,0.614,4.525,47.161,18.036,0.03,9.142,0.386,2.958,0.031,4.269,13.271,5.847,4.296,15.993,3.659,4.638,1.375,6.613,0.02,0.614,4.152,0.077,6.362,1.567,0.197,3.808,2.138,33.525,1.649,3.732,1.49,1.355,9.87,0.344,8.636,12.966,3.809,0.784,6.632,3.665,18.876,10.969,0.999,0.027,1.461,2.616,3.484,2.225,20.172,1.455,15.953,3.295,3.29,0.677,18.191,18.133,1.168,9.882,0.545,3.001,4.385,3.863,0.036,27.535,0.757,0.626,0.27,3.053,3.123,0.049,3.727,3.668,0.124,6.12,5.161,0.144,0.149,2.102,9.367,1.231,1.122,9.624,6.471,3.565,3.771,8.632,7.492,0.112,7.442,1.111,2.062,13.354,0.971,1.539,1.24,1.881,1.64
156.SYNCOM.155,0 to 100% of passenger km,0,100,0.151,1.694,6.886,0.339,1.517,5.294,5.997,1.28,0.035,0.842,3.511,15.579,0.016,2,5.92,2.886,8.209,0.298,0.214,4.293,4.249,2.148,13.507,11.439,3.53,1.806,0.058,0.499,0.109,10.629,15.219,0.132,1.634,10.245,0.636,8.39,9.595,5.194,0.012,1.346,13.122,0.148,5.048,1.66,6.925,0.015,4.568,0.339,0.78,1.389,4.06,4.281,0.005,0.793,3.195,7.114,0.748,24.591,0.062,2.723,0.416,2.829,14.29,16.226,1.842,0.152,3.586,0.078,44.155,0.542,0.034,0.845,4.341,8.585,0.437,6.537,0.18,0.028,3.614,48.513,2.594,8.238,1.203,19.438,0.019,5.057,0.195,1.073,2.241,11.962,0.806,3.015,53.544,6.523,21.653,1.008,2.209,7.909,6.294,0.903,22.863,1.545,0.881,0.7,20.465,3.423,0.526,3.758,1.311,8.452,48.437,14.26,0.198,21.61,0.083,18.532,3.49,3.528,47.359,15.105,0.855,7.69,25.305,4.033,0.417,5.379,2.966,13.234,14.743,12.012,1.358,3.729,23.184,0.521,5.007,0.04,5.287,0.65,0.492,3.264,2.558,6.369,20.006,3.794,3.91,0.053,0.873,0.394,0.814,0.382,0.214,4.69,3.459,0.254,1.346,18.497,48.422,0.06,43.109,0.172,1.653,0.212,28.976,1.528,15.5,1.25,7.622,17.199,5.871,1.291,15.005,0.015,1.402,1.782,0.013,13.734,2.653,0.275,4.473,4.234,4.287,3.766,3.533,14.845,1.519,4.228,8.421,14.798,1.521,5.189,3.184,1.502,1.825,5.871,2.471,3.678,0.002,25.995,2.752,0.998,0.182,4.858,0.201,29.207,0.901,10.381,4.963,20.813,7.182,1.338,11.492,0.342,1.593,1.044,0.687,0.03,25.246,1.544,0.074,0.724,0.786,0.851,5.793,8.099,7.81,0.927,4.685,11.179,0.092,0.098,2.442,1.903,5.613,3.271,18.461,3.588,4.01,4.073,10.898,0.599,0.63,3.705,0.748,0.314,6.292,1.985,0.109,0.232,0.604,0.124
SYNCOM.SYN.46,0 to 100% of passenger km,0,100,28.104,12.124,4.9,0.069,0.863,49.204,3.361,61.757,0.039,3.032,6.891,38.997,2.708,9.618,10.927,0.486,3.122,0.704,3.82,0.298,15.295,5.062,4.388,57.879,1.527,5.816,0.007,10.38,1.358,5.646,63.541,0.244,2.22,26.711,15.746,49.793,1.906,7.431,7.27,4.247,20.545,2.135,9.436,6.415,44.559,0.059,12.804,1.897,2.664,6.388,6.056,8.354,4.954,47.816,3.844,4.219,5.273,26.152,2.087,1.764,5.223,26.046,4.944,25.737,0.859,6.506,19.397,13.24,16.871,28.004,15.182,7.875,1.679,31.201,4.02,3.948,0.811,0.04,11.661,8.41,19.154,22.457,2.977,1.347,0.038,20.787,8.141,1.152,0.088,2.469,15.536,9.248,2.933,18.646,0.731,39.217,35.831,33.453,8.816,9.561,2.261,39.748,11.105,4.595,0.919,14.667,5.493,2.741,5.183,0.945,6.792,11.384,22.55,9.742,1.872,3.629,2.707,11.226,3.429,5.253,26.663,28.538,10.601,0.629,6.86,13.064,1.924,0.344,3.856,2.511,6.332,0.285,8.561,0.588,63.677,2.191,6.446,0.462,3.604,70.156,4.766,84.124,18.574,9.901,3.439,2.286,0.005,0.744,3.983,7.083,0.138,46.332,14.014,0.448,9.326,13.048,7.186,1.036,10.334,9.818,22.41,0.027,27.327,5.136,13.542,3.34,2.142,40.474,11.895,23.347,17.256,0.134,6.716,10.671,39.669,7.025,1.765,9.851,19.588,23.436,10.523,24.168,11.081,10.335,0.947,40.636,9.049,4.389,0.059,2.257,13.392,1.099,2.581,27.677,20.146,0.065,0.35,5.211,1.805,0.515,9.21,8.146,1.138,12.007,0.158,23.178,34.44,3.77,17.162,1.631,28.406,5.14,0.129,7.452,1.384,2.225,5.892,52.951,44.251,0.065,33.205,4.152,3.046,59.847,22.58,2.324,28.042,21.149,0.239,0.423,1.581,11.648,22.283,1.196,2.396,3.08,2.969,7.421,3.711,0.759,0.294,0.381,7.443,11.54,11.146,30.609,0.612,0.37,29.985,25.238
157,0 to 100% of passenger km,0,100,25.52,10.572,2.436,0.046,0.264,25.315,1.774,57.138,0.001,0.58,5.699,0.814,1.39,6.265,3.348,0.003,0.046,0.026,3.736,0.256,3.243,4.976,2.4,54.694,1.318,4.508,0.003,6.892,0.264,2.107,10.744,0.113,0.414,16.876,15.374,7.768,0.563,5.386,6.413,2.04,9.347,1.669,1.369,3.117,0.562,0.047,2.992,1.128,2.387,0.974,0.812,4.118,2.771,7.036,1.374,3.643,0.251,19.173,0.886,1.537,1.732,12.946,4.446,7.046,0.736,6.304,0.733,10.036,11.769,3.166,10.628,7.234,1.547,27.669,1.282,0.883,0.738,0.037,2.317,6.102,6.252,16.396,1.165,0.014,0.003,18.576,6.32,0.334,0.012,0.473,6.341,8.323,0.905,11.719,0.345,24.372,28.41,20.159,4.123,3.44,1.367,13.834,6.867,0.25,0.4,5.59,3.044,0.862,3.547,0.531,0.254,5.135,8.12,8.447,1.551,2.065,0.661,4.428,1.795,2.196,11.834,20.988,9.217,0.422,6.817,9.209,1.748,0.206,2.136,2.093,3.406,0.157,5.584,0.387,14.675,1.834,2.242,0.171,0.74,16.08,2.673,38.937,13.259,5.145,2.844,1.693,0.003,0.682,3.497,4.726,0.095,1.411,13.561,0.268,1.771,2.279,4.826,0.5,1.773,9.769,18.304,0.021,17.386,3.8,1.421,2.062,0.895,7.905,9.962,23.047,7.04,0.001,5.803,1.416,31.416,6.133,1.714,7.461,4.29,7.171,2.78,19.886,6.574,10.038,0.297,21.888,5.298,4.115,0.02,1.574,3.731,0.126,1.016,3.008,6.858,0.047,0.238,1.513,0.194,0.41,0.187,1.36,0.592,4.296,0.108,14.569,12.597,2.271,1.353,0.503,10.677,4.052,0.046,5.158,0.162,0.123,4.781,42.378,24.23,0.047,15.148,1.763,2.919,30.959,8.793,1.319,19.661,20.673,0.121,0.27,0.369,8.375,5.6,0.61,0.547,0.94,2.545,5.846,2.774,0.543,0.134,0.287,0.234,8.373,7.659,21.091,0.108,0.145,25.394,22.003
158.COM.157,0 to 100% of passenger km,0,100,2.584,1.551,2.464,0.023,0.599,23.889,1.587,4.619,0.038,2.452,1.192,38.184,1.318,3.353,7.579,0.483,3.077,0.678,0.084,0.042,12.052,0.086,1.987,3.185,0.209,1.309,0.004,3.488,1.094,3.538,52.798,0.131,1.806,9.835,0.372,42.025,1.343,2.045,0.856,2.207,11.198,0.466,8.068,3.298,43.997,0.012,9.812,0.769,0.278,5.415,5.244,4.236,2.183,40.78,2.47,0.576,5.022,6.979,1.202,0.227,3.491,13.1,0.498,18.691,0.124,0.202,18.663,3.204,5.103,24.837,4.554,0.64,0.131,3.532,2.738,3.065,0.072,0.003,9.344,2.308,12.902,6.061,1.812,1.333,0.034,2.211,1.821,0.819,0.076,1.996,9.196,0.926,2.028,6.928,0.386,14.845,7.421,13.293,4.693,6.122,0.894,25.914,4.238,4.345,0.519,9.077,2.449,1.879,1.636,0.414,6.538,6.249,14.43,1.295,0.321,1.564,2.046,6.798,1.634,3.056,14.828,7.551,1.384,0.207,0.043,3.855,0.176,0.138,1.72,0.418,2.927,0.128,2.977,0.201,49.002,0.357,4.204,0.29,2.865,54.076,2.093,45.187,5.315,4.756,0.596,0.594,0.002,0.062,0.486,2.356,0.043,44.921,0.453,0.18,7.555,10.769,2.36,0.535,8.561,0.048,4.106,0.006,9.941,1.336,12.122,1.279,1.247,32.569,1.932,0.3,10.216,0.133,0.914,9.256,8.253,0.892,0.051,2.391,15.297,16.264,7.743,4.282,4.508,0.297,0.649,18.748,3.751,0.274,0.039,0.684,9.661,0.972,1.565,24.67,13.288,0.018,0.112,3.698,1.61,0.105,9.023,6.786,0.546,7.711,0.05,8.609,21.843,1.498,15.808,1.127,17.729,1.088,0.083,2.294,1.222,2.101,1.111,10.573,20.021,0.019,18.056,2.388,0.127,28.888,13.787,1.004,8.382,0.475,0.118,0.153,1.212,3.273,16.683,0.585,1.849,2.14,0.423,1.575,0.937,0.215,0.161,0.094,7.208,3.167,3.487,9.517,0.504,0.224,4.59,3.235
159.COM.154,0 to 100% of passenger km,0,100,21.111,30.102,21.762,30.062,65.929,2.76,1.897,14.401,2.639,5.593,11.224,20.861,12.342,12.093,1.215,1.252,20.682,0.495,10.422,7.394,15.733,34.33,8.457,0.077,27.828,47.955,0.006,27.278,11.791,7.544,7.9,29.835,15.04,20.556,31.633,0.016,0.246,12.686,0.131,8.126,7.882,5.063,45.461,8.276,24.954,5.608,0.43,14.233,7.743,9.176,3.114,47.743,45.183,3.683,0.881,19.917,6.711,4.742,0.004,11.187,18.203,9.621,21.127,9.156,44.912,42.98,12.99,8.794,0.921,7.056,31.198,28.872,55.113,17.662,0.099,4.511,12.542,1.525,7.12,1.135,1.152,39.61,13.071,6.355,22.073,1.294,2.385,0.264,0.886,8.482,26.321,18.737,11.251,12.733,1.975,25.252,0.077,0.583,16.018,3.087,22.311,3.437,7.194,0.281,4.545,4.362,9.178,9.391,9.562,2.496,1.546,10.484,1.294,11.377,38.867,12.025,0.394,0.198,2.038,40.868,6.684,39.675,32.683,3.345,6.143,3.529,8.03,1.884,6.525,21.734,4.74,4.222,39.72,0.847,6.036,28.444,5.507,0.03,4.121,5.413,37.807,1.657,0.656,34.294,2.69,0.015,1.479,6.17,6.88,1.941,0.204,12.173,3.998,15.292,5.693,0.375,3.506,6.127,0.401,0.241,43.393,17.666,2.316,1.132,57.518,2.261,1.711,0.637,8.78,0.203,16.296,5.56,2.475,2.978,10.334,13.209,0.315,22.509,35.614,22.771,12.695,1.719,29.554,6.245,3.659,3.846,18.911,11.978,0.304,18.045,12.354,2.287,8.179,29.376,10.345,20.624,1.134,7.151,7.462,0.241,0.115,25.789,3.563,7.441,39.441,30.011,2.234,9.188,7.608,4.201,3.804,7.567,0.624,2.788,8.566,9.256,7.876,11.593,26.864,0.458,0.495,1.141,19.017,17.323,0.027,1.767,10.22,4.582,0.557,1.689,4.489,0.733,7.094,3.102,6.62,6.006,14.511,1.966,5.348,43.299,1.663,3.492,12.732,0.233,66.149,8.965,24.296,5.143,4.244,16.105
364,MW out of current total / 100,0,748,205.151,503.666,215.768,731.584,714.881,183.73,86.219,338.376,38.192,77.044,46.67,602.901,624.285,69.35,623.02,246.471,240.793,300.399,91.507,224.262,106.652,151.709,463.44,258.053,304.205,199.503,105.383,300.109,635.311,164.241,372.91,142.804,401.031,586.213,354.769,98.367,263.091,367.82,676.737,614.801,740.157,324.851,461.839,125.501,284.199,722.416,261.803,595.551,673.665,159.82,31.032,722.67,161.497,357.254,184.113,536.377,168.988,187.571,577.187,383.703,276.863,125.063,273.364,203.47,241.889,70.794,389.344,422.148,568.147,498.433,148.497,551.725,38.457,697.029,387.275,187.448,97.87,636.673,531.664,720.411,462.493,648.966,413.477,369.489,379.923,242.131,208.74,69.146,661.977,351.609,319.349,528.151,715.615,188.793,506.258,461.273,144.231,229.063,538.456,214.535,572.933,668.638,559.533,379.735,619.439,701.783,314.805,98.692,350.47,276.941,53.233,580.826,397.543,284.863,387.363,703.028,293.265,256.816,252.363,170.351,0.387,73.939,410.162,118.755,349.838,413.309,585.094,9.441,214.649,115.424,403.565,260.794,45.481,559.673,340.451,640.021,500.306,369.285,686.402,589.468,568.556,294.682,380.535,43.403,501.607,169.241,215.524,638.997,367.149,719.805,151.512,726.074,250.59,411.287,542.275,525.027,276.697,259.398,664.698,49.694,670.892,185.645,408.196,39.123,85.258,638.401,75.69,239.817,489.53,286.709,705.406,155.142,493.819,200.278,363.093,735.755,178.172,563.532,407.377,686.756,702.469,254.521,301.719,81.572,660.05,474.389,206.41,672.455,76.776,97.442,721.664,108.717,145.878,697.325,22.722,222.681,379.874,341.576,16.5,58.522,621.542,744.832,318.132,667.983,77.185,483.241,639.71,228.953,271.846,359.621,247.587,153.336,503.494,305.294,202.473,48.492,360.132,550.046,175.682,301.054,463.958,230.307,471.642,93.248,304.811,379.787,705.866,293.974,649.818,31.547,114.281,667.369,182.447,40.739,664.255,25.466,727.693,657.023,124.763,575.165,507.569,606.323,158.976,264.498,294.142,36.654,584.022,267.484,155.348,304.709
365,MW out of current total / 100,0,748,378.146,736.807,492.716,272.768,728.611,651.001,580.239,64.42,286.388,161.592,53.249,383.538,141.181,300.969,377.741,411.874,95.923,197.984,95.353,646.431,168.886,387.574,181.244,474.824,59.183,501.906,689.73,291.53,686.714,731.652,84.079,375.647,192.816,145.188,167.661,142.362,697.855,76.341,569.187,574.251,726.365,311.216,354.86,293.213,669.131,578.122,405.981,727.731,57.157,268.036,148.751,323.813,68.983,623.698,424.645,491.421,747.244,559.742,667.425,713.818,556.391,250.232,472.835,9.691,333.905,126.652,37.057,431.851,154.889,365.377,726.924,17.769,62.638,396.157,119.408,283.898,561.055,486.866,319.277,614.998,549.292,173.127,486.262,424.249,671.978,484.888,291.146,110.488,192.117,102.856,412.876,268.742,505.015,563.938,616.221,186.742,463.564,230.258,584.444,20.495,47.828,268.645,335.468,341.765,250.197,561.342,84.884,26.409,58.035,722.179,115.651,49.861,56.625,417.105,26.909,22.135,181.808,196.288,641.935,698.644,626.396,515.333,231.51,640.196,6.148,282.117,575.55,150.78,652.532,354.351,335.001,525.173,497.396,87.651,337.574,160.309,743.485,287.656,585.714,592.175,174.804,666.422,484.579,110.652,714.665,521.564,506.995,100.963,227.675,743.573,454.153,460.427,281.223,305.517,383.732,724.624,436.563,145.555,679.354,250.836,603.62,221.925,562.751,194.905,647.879,36.203,22.589,163.194,113.38,254.765,707.912,352.021,468.75,650.01,14.629,638.701,120.337,597.97,62.699,533.198,64.251,650.173,709.865,175.876,403.05,61.205,15.228,9.828,576.516,445.756,424.651,587.322,360.457,301.465,321.096,734.959,513.417,534.375,707.788,387.085,107.822,288.948,486.064,742.241,362.177,190.357,443.9,153.912,406.202,392.691,574.637,639.375,50.552,507.381,609.922,200.916,363.09,274.369,504.12,340.278,237.896,308.185,436.813,342.911,127.441,4.345,148.027,142.893,171.163,226.656,183.245,201.784,399.403,66.629,675.726,156.132,265.078,540.583,37.997,247.507,206.948,551.142,607.833,489.444,303.04,405.779,3.875,579.596,20.289,14.538
366,MW out of current total / 100,0,748,704.88,139.013,477.093,539.368,139.433,404.05,174.884,363.664,361.526,293.349,406.837,224.817,94.592,58.761,281.038,693.373,91.864,595.823,266.414,168.83,353.794,262.982,67.22,425.389,721.573,274.666,525.029,708.544,295.17,657.457,316.224,246.499,115.378,355.52,383.213,597.455,437.547,453.274,535.647,404.252,471.967,377.357,451.052,212.592,425.788,330.986,387.467,561.086,171.26,433.756,237.614,327.777,394.914,481.877,210.649,36.927,404.845,247.09,518.757,174.007,123.259,368.859,43.398,106.89,18.082,623.77,170.44,263.092,521.668,68.01,639.225,441.16,615.547,566.468,345.569,497.499,499.035,432.808,388.37,39.956,40.781,399.751,276.402,661.243,662.378,517.885,686.431,618.582,702.94,485.971,41.135,588.108,286.142,388.862,333.418,151.008,89.524,719.119,262.583,638.44,236.126,387.099,269.08,410.678,215.886,120.439,467.385,219.113,111.64,319.649,495.645,585.428,512.714,423.211,82.138,352.447,332.396,578.537,744.194,292.943,720.855,579.853,198.668,295.137,324.608,435.012,33.979,203.938,153.374,660.041,519.59,156.914,491.609,560.592,78.967,703.419,718.468,398.706,56.114,402.239,389.925,214.423,621.711,230.656,497.674,307.471,506.147,71.748,459.075,582.919,178.505,550.121,745.072,481.787,152.697,120.164,527.361,366.424,111.556,369.862,62.994,185.213,256.861,129.798,715.856,230.149,227.292,60.495,219.901,618.61,437.518,289.338,370.415,330.481,396.84,318.678,249.158,212.69,606.312,557.057,698.247,49.963,294.331,658.846,615.818,609.614,561.727,307.174,351.458,602.688,359.93,384.042,46.123,251.353,174.889,676.428,568.386,347.878,419.476,377.219,387.179,691.364,742.21,127.662,618.36,269.736,256.418,325.593,90.85,709.488,16.266,535.215,472.821,375.935,547.356,470.352,465.317,167.014,442.837,704.115,16.737,471.277,271.086,67.376,546.607,561.105,336.477,534.086,276.895,636.13,148.405,294.778,270.459,38.32,657.425,437.706,229.677,172.974,568.471,426.681,18.74,700.812,179.9,278.286,372.847,687.626,455.09,639.365,594.951,31.16
